Ahuroa; Long mound; ahu: mound, roa: long
Waipuhinui; Water of the large canoe bow plume; wai: water, puhi: plume at the bow of a war canoe, nui: large
Waipuku; Swelling water; wai: water, puku: to swell
Waipukurau; Stream of the pukurau fungus; wai: stream, pukurau: a large white fungus
Wairākei; A place where pools of water were used as mirrors; wai: water, rākei: adorning
Wairangi; Water skies; wai: water, rangi: sky
Wairarapa; Glistening water; wai: water, rarapa: glistening
Waireka; Sweet water; wai: water, reka: sweet
Wairepo; Swampy water; wai: water, repo, swamp
Wairere; Waterfall; wai: water or stream, rere: to flow
Wairio; Dried-up stream; wai: water or stream, rio: dried up
Wairoa; Long stream; wai: river or stream, roa: long
Wairongoā; Medicinal stream; wai: springs, rongoā: medicine
Wairua; Twin waters; wai: stream or river, rua: two
Wairuna; Dock waters; wai: stream, runa: dock
Wairunga; Stream that flows from the mountains; wai: water, runga: above
Waitaanga; Stream of Anga; wai: stream, a of, Anga
Waitaha; Backwater; wai: river or stream, taha: to pass on one side
Waitahanui; Stream of cabbage trees; wai: stream, tahanui: a variety of cabbage tree with broad leaves
Waitahora; Wide-open waters; wai: water, tahora: spread out or open space
Waitahu; Straight-running stream; wai: stream, tahu: continuous or running in a straight line
Waitahuna; Stream of Tāhuna; wai: stream, Tāhuna: a personal name
Waitai; Salty water; wai: water, tai: salt or brackish
Waitakaro; Wrestling waters; wai: stream, takaro: to play or wrestle
Waitakaruru; Stagnant water; wai: water, takaruru: stagnant
Waitākere; Cascading stream; wai: water or stream, tākere: deep or cascading
Waitaki; Weeping waters; wai: river, taki (tangi): noisy or weeping
Waitāne; River of men; wai: river, tāne: man or men
Waitangi; Weeping waters; wai: waters, tangi: noisy or weeping
Waitangiruru; Stream that sounds like a morepork; wai: water or stream, tangi: to sound, ruru: morepork
Waitanguru; Rapidly rushing water; wai: water, tanguru: rushing rapidly
Waitao; Spear waters; wai: water, tao: spear
Waitapu; Sacred waters; wai: water: tapu: sacred or forbidden
Waitaramea; Speargrass stream; wai: stream, taramea: speargrass
Waitararoa; First rays of the sun appearing on the water; wai:water, tara: sun’s ray or shafts of light, roa: long
Waitārere; Copiously flowing waters; wai: stream, tārere: to flow copiously
Waitaria; Waters of waiting; wai: water, taria: to wait for
Waitaruke; Hurrying stream; wai: stream, taruke: hurrying
Waitata; Dashing stream; wai: water, tata: to dash or beat down
Waitawa; Tawa tree stream; wai: stream, tawa: tree
Waitāwheta; Restless stream; wai: water, tāwheta: to flounder
Waitekauri; Stream of the kauri tree; wai: stream, te: the, kauri: native tree
Waitepeka; Tributary stream; wai: stream, te: the, peka: branch
Waiterimu; Stream of the rimu tree; wai: stream, te: the, rimu: native tree
Waiteti; Stream of the cabbage tree; wai: stream, te: the, tī: cabbage tree
Waitetuna; Stream of the eel; wai: stream, te: the, tuna: eel
Waitiri; Disturbed stream; wai: water or stream, tiri: to toss about or disturb
Waitoa; Rough waters; wai: water, toa: rough or stormy
Waitoetoe; Toetoe grass stream; wai: water or stream, toetoe: native grass
Waitohi; Stream for baptismal rite; wai: water, tohi: baptismal rite
Waitohu; Water that points out the way; wai: water, tohu: to point out
Waitoki; Adze waters; wai: water, toki: adze
Waitomo; Shafts from water; wai: water, tomo: shaft
Waitoriki; Small stream; wai: water, tōriki: little
Waitōtara; Tōtara tree river; wai: river, tōtara: native tree
Waituhi; Glowing waters; wai: water, tuhi: to glow
Waitūī; Tūī waters; wai: water, tūī: bird
Waituna; Eel stream; wai: stream, tuna: eel
Waiuku; Stream with banks of white clay; wai: stream, uku: white clay
Waiuta; Inland river; wai: river, uta: inland, or to load a burden
Waiwawa; Roaring stream; wai: stream, wawa: roaring
Waiwera; Hot water; wai: water, wera: hot
Wai-whakaata; Reflecting waters; wai: water, whakaata: to reflect
Waiwhero; Red waters; wai: water, whero: red
Waiwhetū; Star-reflecting stream; wai: stream, whetū: star
Waiwhio; Stream of the blue duck; wai: stream, whio: blue or whistling duck
Waiwhiu; Sudden bend in the stream; wai: stream, whiu: sudden bend
Wakanui; Many waka; waka: canoe, nui: large or many
Waronui; Large coals; waro: chasm or coals, nui: large
Waitētē; Shovel-nosed duck stream; wai: stream, tētē: shovel-nosed duck, now extinct
Wēiti; Little waters; wē: liquid or water, iti: little
Whakaari; Expose to view; whakaari: To show or expose to view
Whakaroa; Long harbour; Whaka (South Island form of whanga): harbour or bay, roa: long
Whangakoko; Shovelled harbour; whanga: harbour, koko: corner, or to take up with a shovel
Whangamarino; Peaceful harbour; whanga: stretch of water, marino: peaceful
Whangamata; Obsidian harbour; whanga: harbour, mata: obsidian
Whangamoa; Valley with raised mounds in plantation; whanga: valley or sheltered place, moa: probably the raised mounds in a plantation
Whangamomona; Bountiful valley; whanga: valley, momona: fat
Whanganui; Large harbour; whanga: bay, nui: large
Whanganui-o-Hei; Large harbour of Hei; whanga: bay, nui: large, o: of, Hei
Whangapara; Sedimentary harbour; whanga: harbour, para: sediment
Whangaparāoa; Whale bay; whanga: bay, parāoa: whale
Whangapē; Fish roe harbour; whanga: to wait, pē: fish roe
Whangapoua; Mollusc harbour; whanga: bay or harbour, poua: a mollusc
Whangarā; Sunny bay; whanga: bay, rā: sun
Whangarātā; Rātā tree valley; whanga: valley, rātā: native tree
Whangārei; Waiting for Reipae; whanga: waiting, rei: abbreviation of Reipae
Whangaripo; Deep stretch of water; whanga: stretch of water, ripo: deep pool or whirlpool
Whangaroa; Long harbour; whanga: harbour, roa: long
Whangaruru; Morepork harbour; whanga: harbour, ruru: morepork
Whangateau; Harbour of smoke; whanga: harbour, te: the, au: current, smoke or mist
Whangatoetoe; Toetoe grass bay; whanga: bay, toetoe: native grass
Whānui; Wide-open waters; whānui: wide
Whareroa; Long house; whare: house, roa: long
Whāro One-roa-a-Tohe; The beach on which Tōhē stretched out; whāro: stretched out, one: beach, roa: long, a: of, Tohe, a chief
Whataroa; Long, elevated stage; whata: elevated stage: roa: long or tall
Whekenui; Great octopus; wheke: octopus, nui: large
Whenuanui; Great land; whenua: land, nui: large
Whenuapai; Good land; whenua: land, pai: good
Whānui; Wide; whānui: broad or wide
Wharanui; Wharanui flax; wharanui: species of flax
Whare; House; whare: house
Whareakeake; House on poor land; whare: house, akeake: poor land, or a species of tree
Whareama; House of carved posts; whare: house, ama: carved posts supporting the maihi
Wharehine; House of young women; whare: house, hine: girls or young women
Wharehuanui; House by a path; whare: house, huanui: road or path
Wharehuia; House of assembly; whare: house, huia (the possessive case of hui): assembled
Wharehunga; Meeting house, or meeting of people in a house; whare: house, hunga: company of people
Wharekaho; Enclosed palisade; whare: house, kaho: fence rail
Wharekākā; Nesting place of parrots; whare: probably nesting place, kākā: parrots
Wharekōpae; House with a side door; whare: house, kōpae: circular
Wharekōwhiti; Cross to house on the far side; whare: house, kō: father side, whiti: to cross
Whareongaonga; Nettle house; whare: house, ongaonga: nettle
Whareora; House of good health; whare: house, ora: safe or in good health
Wharepāina; House to warm oneself; whare: house, pāina: to warm oneself
Wharepapa; House flats; whare: house, papa: flat
Wharepoa; Smouldering house; whare: house: poa: smouldering or smoking
Whareponga; Tree-fern house; whare: house, ponga: tree-fern
Wharerātā; House among the rātā trees; whare: house, rātā: native tree
Whatamangō; A stage for storing dried shark flesh; whata: elevated food store: mangō (the same word as makō): shark
Whatatutu; Storage platform among the tutu bushes; whata: elevated food platform, tutu: native tree or bush
Whatawhata; Elevated food platforms; whata: elevated food platform
Whatitiri; Thunder; whatitiri: thunder
Whatiwhatihoe; Paddle broken into pieces; whatiwhati: to break in pieces, hoe: paddle
Whau; Whau tree; whau: a native tree
Whāwhārua; Grope about in kūmara pit; whāwhā: to feel about, rua: pit
Whenuahōu; New land; whenua: land, hōu: new
Whenuakite; Discovered land; whenua: land, kite: discover
Whenuakura; Red land; whenua: land, kura: red
Whetūkura; Red star; whetū: star, kura: red
Whitianga; The crossing (of a river); whitianga: the crossing
Whitikau; Wade across; whiti: to cross, kau: to wade
